player_name,total_goals,total_assists,total_shots,total_shots_on_target,total_minutes_played,average_rating
Aaron Goodwin,1,2,12,1,1787,3.4127659574468088
Aaron Metcalfe,1,0,32,2,1807,3.872340425531915
Aaron Souttar,0,0,0,0,1242,2.021276595744681
Aaron Wright,9,5,35,14,1842,4.529787234042553
Abdallah El-Shenawy,0,3,8,0,1597,3.468888888888889
Abdelaziz Abdulla,13,6,86,26,2598,4.565151515151515
Abdelaziz Al-Mohannadi,1,6,19,1,2500,3.56969696969697
Abdelaziz Ismaeel,0,3,10,0,1473,2.896969696969697
Abdiel Davis,3,1,37,7,1555,3.2148936170212763
Abdiel Martinez,1,0,16,1,1678,3.64468085106383
Abdiel Sanchez,2,3,15,2,1818,4.195744680851064
Abdulrahman Al-Hamdan,5,0,14,5,2973,4.703846153846154
Abdulrahman Al-Otaibi,6,5,52,13,1832,4.036538461538462
Abdulrahman Al-Salem,3,5,20,3,2142,3.928846153846154
Achraf Amellah,2,8,36,3,2038,4.0181818181818185
Achraf Bounou,2,2,13,2,2366,4.154545454545454
Achraf El Yamiq,8,3,63,20,1931,4.092727272727273
Achraf Saiss,0,0,0,0,1047,1.509090909090909
Adam Kara,2,1,21,3,1819,4.692682926829268
Adam Toudic,1,0,3,1,1061,2.7902439024390246
Ademola Chukwueze,7,4,30,11,1824,4.279999999999999
Ademola Dessers,1,2,11,1,1570,4.2225
Adrian Rodrigues,1,3,29,4,2076,3.3338983050847455
Adrian Simpson,1,2,17,2,2397,4.196610169491525
Ahmed Abdallah,2,2,9,2,1741,4.173333333333334
Ahmed Al-Dosari,0,1,19,1,2428,3.6893939393939394
Ahmed El-Sayed,2,2,15,2,1823,3.2111111111111112
Ahmed Hussein,3,0,21,3,1459,4.048780487804878
Ahmed Mahmoud,2,4,26,3,2434,3.484848484848485
Ahmed Marmoush,8,2,45,11,1670,3.466666666666667
Ahmed Moutan,2,1,8,2,1743,4.353658536585366
Aissa Bennacer,4,0,6,4,2182,4.206382978723404
Aissa Dhaou,5,3,14,5,1690,4.217021276595744
Ajdin Jones,0,3,22,0,2034,3.9063829787234043
Ajdin Rogic,0,1,12,0,2292,3.904255319148936
Ajdin Souttar,6,9,48,12,1535,3.891489361702128
Akram Al-Ahmad,12,5,63,19,2296,4.543939393939394
Akram Ali,0,0,0,0,1661,2.0060606060606063
Akram Hatem,3,3,12,3,2880,3.890909090909091
Akram Mesa,3,9,30,4,2370,4.292424242424243
Aleksandar Kostic,1,0,9,2,1592,3.7547619047619043
Aleksandar Lukic,2,7,19,3,1558,3.973809523809524
Aleksandar Savic,0,2,0,0,1162,2.442857142857143
Aleksandar Terzic,7,2,23,8,1487,3.6404761904761904
Alessandro Udogie,0,1,10,1,2263,3.7849056603773583
Alex Awoniyi,0,3,15,1,1283,3.1550000000000002
Alex Chukwueze,10,4,68,20,1630,4.8975
Alex Ekong,1,4,8,1,1506,4.04
Alexander Abubakari,2,2,9,2,1779,4.482222222222222
Alexander Ekdal,0,0,4,0,1411,3.5027777777777778
Alexander Hiljemark,1,1,26,2,1458,4.0055555555555555
Alexander Hohberg,0,1,8,0,1600,3.3020833333333335
Alexander Issahaku,3,1,23,4,1783,3.7155555555555555
