team,total_goals,total_assists,total_shots,total_shots_on_target,total_minutes_played,average_rating
Algeria,61,52,512,106,38159,3.651313320825516
Argentina,46,57,428,86,32171,3.666968325791855
Australia,61,64,567,112,44661,3.6747135842880523
Austria,54,44,403,93,31417,3.7142191142191145
Belgium,67,68,695,141,47642,3.5950980392156864
Brazil,63,52,490,102,41793,3.5625641025641026
Cameroon,88,66,594,146,41276,3.708653846153846
Canada,63,61,536,101,45123,3.63838141025641
Chile,36,52,414,72,34777,3.518295218295218
Colombia,61,52,451,90,43097,3.580685618729097
Costa Rica,76,61,542,116,43004,3.5989966555183943
Croatia,66,70,543,103,45905,3.6374411302982734
Denmark,57,65,477,94,40576,3.538819320214669
Ecuador,54,53,477,81,44534,3.638625204582651
Egypt,54,54,481,91,42006,3.5836752136752135
England,66,58,508,105,41506,3.6579545454545452
France,35,51,347,67,32335,3.578280542986425
Germany,50,37,361,90,31855,3.641742081447964
Ghana,75,65,570,128,42250,3.6984615384615385
Iran,72,70,542,116,35983,3.6968623481781377
Iraq,62,56,503,113,38492,3.6769230769230767
Italy,64,76,610,110,50193,3.6833091436865026
Jamaica,79,80,657,130,55482,3.6561929595827904
Japan,49,54,441,89,34043,3.764957264957265
Mexico,61,59,482,106,37576,3.5967307692307693
Morocco,68,61,685,146,51684,3.686503496503496
Netherlands,94,85,726,159,50790,3.7055555555555557
Nigeria,64,64,481,99,37829,3.6716346153846153
Panama,90,81,606,142,44984,3.7069558101472992
Peru,67,69,552,114,45369,3.6427884615384616
Poland,51,49,436,95,36670,3.576429980276134
Portugal,60,54,452,100,40281,3.6026833631484796
Qatar,95,93,755,151,61913,3.6604312354312354
Saudi Arabia,82,68,660,141,48686,3.626331360946746
Scotland,72,73,606,121,45497,3.640031397174254
Senegal,62,49,432,97,36300,3.671457489878543
Serbia,59,62,429,92,39179,3.573351648351648
South Africa,59,44,404,87,33296,3.6479120879120877
South Korea,38,59,384,72,31983,3.5247737556561085
Spain,61,71,523,101,42269,3.6175213675213675
Sweden,59,36,385,87,34044,3.5804487179487183
Switzerland,50,42,399,86,33223,3.6298901098901095
Tunisia,78,48,465,108,44370,3.6238952536824875
Turkey,65,59,587,119,47187,3.548153846153846
Ukraine,51,46,410,81,36013,3.6290485829959516
United States,53,61,411,89,35623,3.6736842105263157
Uruguay,69,48,511,107,42914,3.668717948717948
Uzbekistan,57,60,479,92,40550,3.5514860139860143
