player_name,player_id,total_goals,total_assists,total_minutes_played,goals_per_90
Mohannad Majeed,P01009,15,10,1396,0.9670487106017192
Memphis Zerrouki,P00153,24,9,2235,0.9664429530201342
Saman Azmoun,P00882,13,4,1219,0.9598031173092698
Timothy Weah,P00676,12,4,1214,0.8896210873146622
Randal Duarte,P00754,14,6,1477,0.8530805687203792
Vinicius Nunes,P00490,15,6,1767,0.7640067911714771
Themba Xoki,P01244,13,2,1586,0.7377049180327869
Moises Pellerano,P00620,11,3,1360,0.7279411764705883
Andre Bassogog,P01141,13,4,1634,0.7160342717258262
Kasey Hector,P00780,16,9,2091,0.6886657101865137
Celso Campbell,P00752,12,3,1570,0.6878980891719745
Dominik Kramaric,P00234,15,9,2006,0.6729810568295115
Eric Rodriguez,P00804,15,5,2014,0.6703078450844091
Boulaye Mendy,P01039,8,1,1094,0.6581352833638026
Bernardo Pepe,P00205,12,1,1642,0.6577344701583434
Jordan Issahaku,P01115,10,3,1434,0.6276150627615062
Declan Saka,P00103,10,1,1441,0.6245662734212353
Safaa Mhawi,P01014,11,4,1600,0.61875
Oleksandr Bondarenko,P00438,11,4,1607,0.6160547604231488
Mehdi Hazbavi,P00879,9,8,1327,0.6103993971363979
Yerry Rodriguez,P00544,9,2,1328,0.6099397590361446
Gianluigi Calafiori,P00125,13,8,1928,0.6068464730290457
Ludwig Olsson,P00390,8,0,1189,0.6055508830950378
Inaki Williams,P01118,9,3,1371,0.5908096280087527
Stefan Lainer,P00337,11,3,1688,0.5864928909952606
Jackson Vukovic,P00933,12,4,1857,0.5815831987075929
Joao Felix,P00208,10,6,1550,0.5806451612903226
Federico Trezeguet,P00595,10,3,1554,0.5791505791505791
Wahbi Chalali,P01165,12,5,1870,0.5775401069518716
Alireza Nourollahi,P00881,9,5,1416,0.5720338983050848
Eric Mba,P01140,14,7,2215,0.5688487584650113
Luka Musah,P00229,12,4,1924,0.5613305613305614
Saleh Al-Qahtani,P00907,13,9,2102,0.5566127497621313
Alex Chukwueze,P01090,10,4,1630,0.5521472392638037
Stuart McTominay,P00466,12,1,1961,0.5507394186639469
Andrew Jack,P00463,12,7,1973,0.5473897617840852
Raul Torres,P00699,11,6,1848,0.5357142857142857
Anibal Sanchez,P00801,10,12,1697,0.5303476723629935
Federico Colpani,P00126,12,8,2037,0.5301914580265096
Lautaro De Paul,P00519,7,3,1191,0.5289672544080605
Jaloliddin Rashidov,P00986,9,6,1532,0.5287206266318538
Pape Sarr,P01040,8,4,1362,0.5286343612334802
Phil White,P00101,8,1,1363,0.5282465150403521
Samuel Olinga,P01139,11,5,1875,0.528
Wilfred Agbadou,P01089,8,5,1377,0.5228758169934641
Ehsan Hosseini,P00884,9,4,1550,0.5225806451612903
Julian Garay,P00516,8,6,1382,0.5209840810419681
Romelu Vanheusden,P00178,10,1,1729,0.5205320994794679
Tajon Buchanan,P00728,9,5,1559,0.5195638229634381
Viktor Isak,P00388,7,1,1221,0.5159705159705159
Paolo Gonzalez,P00645,13,6,2293,0.510248582642826
Angel Caicedo,P00622,10,7,1764,0.5102040816326531
Emiliano Balerdi,P00517,6,0,1065,0.5070422535211268
Ritsu Endo,P00831,7,4,1248,0.5048076923076923
Ruslan Sudakov,P00442,7,3,1274,0.4945054945054945
Edson Lozano,P00700,9,5,1652,0.4903147699757869
Mohammed Al-Shahrani,P00909,9,3,1655,0.48942598187311176
Jose Cavani,P00596,10,9,1841,0.48886474741988045
Casemiro Martins,P00493,8,3,1482,0.48582995951417
Alvaro Gavi,P00076,8,5,1488,0.4838709677419355
Stefan Zuber,P00260,7,7,1309,0.48128342245989303
Min-jae Ji,P00855,6,7,1130,0.47787610619469023
Leon Gotze,P00045,7,0,1323,0.47619047619047616
Cristiano Eustaquio,P00203,8,7,1519,0.4739960500329164
Karl Aboubakar,P01143,8,3,1525,0.4721311475409836
Nicolas Anguissa,P01144,8,4,1527,0.4715127701375246
Ismael Boufantin,P01192,7,2,1338,0.47085201793721976
Akram Al-Ahmad,P00957,12,5,2296,0.47038327526132406
Hakim Ziyech,P01066,10,3,1917,0.46948356807511743
Dejan Wahlqvist,P00385,6,0,1152,0.46875
Keylor Aguilar,P00749,7,1,1346,0.46805349182763745
Gabriel Junior,P00492,8,2,1556,0.4627249357326478
Cengiz Gonul,P00412,9,2,1757,0.46101309049516226
Michael Brown,P00803,9,7,1761,0.45996592844974443
Damion Gray,P00779,11,6,2187,0.4526748971193416
Abdelaziz Abdulla,P00962,13,6,2598,0.45034642032332567
Jude Chilwell,P00100,8,2,1602,0.449438202247191
Sadio Diouf,P01035,8,8,1602,0.449438202247191
Yann Shaqiri,P00258,9,1,1831,0.4423812124522119
Aaron Wright,P00932,9,5,1842,0.43973941368078173
Daichi Hashioka,P00827,9,1,1855,0.4366576819407008
Kevin Saelemaekers,P00177,10,4,2076,0.4335260115606936
Mohammed Attiogbe,P01113,9,8,1874,0.43223052294557096
Ahmed Marmoush,P01220,8,2,1670,0.4311377245508982
Husniddin Nasrullaev,P00988,9,4,1882,0.43039319872476095
Vincent Choupo-Moting,P01142,6,5,1262,0.42789223454833597
Simon Hansen,P00283,9,5,1899,0.4265402843601896
Aleksandar Terzic,P00308,7,2,1487,0.42367182246133156
Scott Gallagher,P00464,8,2,1725,0.41739130434782606
Giovanni Hoppe,P00673,9,4,1944,0.41666666666666663
Frenkie Wijndal,P00151,8,6,1731,0.41594454072790293
Xherdan Mvogo,P00256,5,0,1084,0.4151291512915129
Andreas Hojbjerg,P00284,9,5,1963,0.41263372389200204
Diogo Leao,P00207,7,5,1528,0.4123036649214659
Davinson Mina,P00545,7,3,1532,0.4112271540469974
Houssem Brahimi,P01195,9,4,1984,0.4082661290322581
Gonzalo Mena,P00623,9,5,1987,0.4076497232008053
Nico Schlotterbeck,P00052,5,2,1106,0.406871609403255
Stephen David,P00726,9,3,2012,0.4025844930417495
Ali Dhaou,P01167,10,3,2239,0.401965163019205
Mohamed Gomaa,P01217,7,3,1569,0.4015296367112811
David Ulmer,P00325,6,3,1351,0.3997039230199852
Sandro Bellanova,P00120,9,7,2043,0.39647577092511016
Juan Cuadrado,P00546,8,4,1841,0.3910917979359044
Trezeguet Ibrahim,P01219,8,5,1844,0.39045553145336226
Dusan Jevtovic,P00307,8,2,1851,0.3889789303079417
Caglar Under,P00414,10,7,2317,0.38843331894691413
Granit Kobal,P00255,6,4,1400,0.38571428571428573
Edinson Torres,P00594,7,1,1636,0.3850855745721271
In-beom Hwang,P00857,5,3,1169,0.3849443969204448
Cody Lang,P00152,10,6,2360,0.3813559322033898
Patrick Vargas,P00747,9,7,2139,0.37868162692847124
Youssef Krid,P01166,8,7,1910,0.3769633507853404
Kalidou Diallo,P01028,5,2,1195,0.37656903765690375
